2,Tatiane,30393720,tatiane563@gmail.com,Rua 25 de Março
3,Adriano,70266623,adriano132@hotmail.com,Beco do Sol
4,Lucas,75495190,lucas622@outlook.com,Avenida Central
5,Fernanda,82443137,fernanda613@outlook.com,Rua das Flores
6,Juliana,81811127,juliana73@hotmail.com,Casa do Everton
7,Rafael,38662962,rafael873@hotmail.com,Avenida Central
8,Lucas,51462688,lucas48@outlook.com,Rua do Adriano
9,Rafael,45754626,rafael61@gmail.com,Mariana leite de souza
11,Rafael,99989514,rafael486@hotmail.com,Travessa da Paz
12,Lucas,93573816,lucas752@hotmail.com,Rua 25 de Março
13,Tatiane,86907736,tatiane743@yahoo.com.br,Mariana leite de souza
14,Mariana,32656442,mariana431@gmail.com,Mariana leite de souza
15,Carlos,53904309,carlos387@gmail.com,Rua das Flores
16,Breno,88029958,breno240@gmail.com,Rua 25 de Março
17,Tatiane,78575429,tatiane114@hotmail.com,Rua das Flores
18,Rafael,78767652,rafael446@yahoo.com.br,Beco do Sol
19,Rafael,71495527,rafael100@outlook.com,Rua das Flores
20,Mariana,95136826,mariana905@yahoo.com.br,Mariana leite de souza
21,Everton,98706181,everton191@hotmail.com,Avenida Central
22,Tatiane,90656867,tatiane271@gmail.com,Rua das Flores
23,Mariana,80466713,mariana906@gmail.com,Rua das Flores
24,Everton,85575436,everton506@outlook.com,Beco do Sol
25,Everton,48665503,everton846@hotmail.com,Casa do Everton
26,Fernanda,82318232,fernanda964@hotmail.com,Rua das Flores
27,Juliana,80038117,juliana944@hotmail.com,Rua das Flores
28,Juliana,88009078,juliana950@outlook.com,Alameda Santos
29,Breno,65778224,breno120@hotmail.com,Rua do Adriano
30,Fernanda,71280699,fernanda250@outlook.com,Mariana leite de souza
31,Tatiane,61093733,tatiane381@hotmail.com,Casa do Everton
32,Everton,38900899,everton741@yahoo.com.br,Vila Nova
33,Everton,58520888,everton241@hotmail.com,Alameda Santos
34,Breno,39016862,breno584@hotmail.com,Rua do Adriano
35,Carlos,54625796,carlos318@hotmail.com,Mariana leite de souza
36,Lucas,66885190,lucas562@gmail.com,Mariana leite de souza
37,Lucas,80183387,lucas560@yahoo.com.br,Rua das Flores
38,Tatiane,78714358,tatiane137@gmail.com,Beco do Sol
39,Everton,95468375,everton884@gmail.com,Casa do Everton
40,Rafael,66694578,rafael792@yahoo.com.br,Alameda Santos
41,Breno,66579535,breno533@yahoo.com.br,Beco do Sol
42,Everton,71601120,everton220@gmail.com,Avenida Central
43,Adriano,50586151,adriano681@gmail.com,Rua do Adriano
44,Lucas,54931550,lucas372@hotmail.com,Travessa da Paz
45,Carlos,76910810,carlos692@hotmail.com,Avenida Central
46,Fernanda,63729754,fernanda366@outlook.com,Rua do Adriano
47,Breno,42190479,breno522@hotmail.com,Casa do Everton
48,Juliana,93355927,juliana285@outlook.com,Alameda Santos
49,Rafael,33696727,rafael241@hotmail.com,Rua 25 de Março
50,Carlos,85893860,carlos128@outlook.com,Beco do Sol
51,Breno,43780570,breno89@outlook.com,Mariana leite de souza
52,Mariana,46068377,mariana609@outlook.com,Rua das Flores
53,Everton,73821524,everton478@outlook.com,Mariana leite de souza
54,Breno,74807834,breno26@hotmail.com,Rua do Adriano
56,Fernanda,64188769,fernanda665@gmail.com,Beco do Sol
57,Fernanda,97783743,fernanda423@yahoo.com.br,Vila Nova
58,Breno,72781058,breno269@yahoo.com.br,Vila Nova
59,Breno,35767410,breno657@hotmail.com,Vila Nova
60,Juliana,60465144,juliana180@hotmail.com,Travessa da Paz
61,Rafael,58203701,rafael392@outlook.com,Avenida Central
62,Everton,42069019,everton371@outlook.com,Rua do Adriano
63,Breno,42831463,breno320@hotmail.com,Mariana leite de souza
64,Mariana,53189164,mariana204@gmail.com,Travessa da Paz
65,Carlos,46154919,carlos528@yahoo.com.br,Rua 25 de Março
66,Fernanda,63431177,fernanda613@hotmail.com,Rua das Flores
67,Fernanda,74983592,fernanda706@yahoo.com.br,Rua 25 de Março
68,Juliana,96057357,juliana64@hotmail.com,Mariana leite de souza
69,Tatiane,57187785,tatiane448@yahoo.com.br,Alameda Santos
